Date,Price,Open,High,Low,Vol.,Change %
08/03/2021,4.7866,4.7745,4.7894,4.7740,21.05K,0.27%
08/04/2021,4.7847,4.7877,4.7941,4.7812,28.72K,-0.04%
08/05/2021,4.7805,4.7857,4.7887,4.7791,21.49K,-0.09%
08/06/2021,4.7852,4.7814,4.7913,4.7784,20.66K,0.10%
08/09/2021,4.7766,4.7864,4.7879,4.7738,19.75K,-0.18%
08/10/2021,4.7696,4.7785,4.7817,4.7681,18.49K,-0.15%
08/11/2021,4.7775,4.7707,4.7818,4.7652,16.92K,0.17%
08/12/2021,4.7704,4.7787,4.7787,4.7675,19.19K,-0.15%
08/13/2021,4.7813,4.7723,4.7828,4.7646,16.30K,0.23%
08/16/2021,4.7741,4.7809,4.7833,4.7712,22.62K,-0.15%
08/17/2021,4.7596,4.7768,4.7769,4.7583,26.36K,-0.30%
08/18/2021,4.7646,4.7610,4.7734,4.7579,26.06K,0.11%
08/19/2021,4.7584,4.7677,4.7677,4.7561,28.92K,-0.13%
08/20/2021,4.7712,4.7607,4.7773,4.7575,25.67K,0.27%
08/23/2021,4.7770,4.7723,4.7810,4.7678,27.34K,0.12%
08/24/2021,4.7767,4.7786,4.7821,4.7712,25.38K,-0.01%
08/25/2021,4.7858,4.7772,4.7891,4.7740,27.99K,0.19%
08/26/2021,4.7833,4.7852,4.7975,4.7826,28.74K,-0.05%
08/27/2021,4.8055,4.7833,4.8116,4.7804,46.41K,0.46%
08/30/2021,4.8044,4.8080,4.8137,4.7993,15.69K,-0.02%
08/31/2021,4.8026,4.8063,4.8164,4.7991,18.98K,-0.04%
09/01/2021,4.8026,4.8040,4.8106,4.7986,18.21K,0.00%
09/02/2021,4.8088,4.8049,4.8111,4.8005,16.90K,0.13%
09/03/2021,4.8083,4.8084,4.8152,4.7944,20.69K,-0.01%
09/06/2021,4.8069,4.8104,4.8145,4.8045,21.09K,-0.03%
09/07/2021,4.8047,4.8111,4.8174,4.8007,22.78K,-0.05%
09/08/2021,4.8007,4.8049,4.8086,4.7954,25.34K,-0.08%
09/09/2021,4.8001,4.8020,4.8128,4.7956,25.26K,-0.01%
09/10/2021,4.8025,4.8058,4.8144,4.7990,28.56K,0.05%
09/13/2021,4.8064,4.8025,4.8106,4.7993,21.75K,0.08%
09/14/2021,4.7900,4.8074,4.8091,4.7903,30.66K,-0.34%
09/15/2021,4.7957,4.7913,4.8004,4.7899,26.53K,0.12%
09/16/2021,4.7976,4.7952,4.8036,4.7931,25.50K,0.04%
09/17/2021,4.7917,4.8010,4.8029,4.7912,28.38K,-0.12%
09/20/2021,4.7801,4.7937,4.7957,4.7778,13.68K,-0.24%
09/21/2021,4.7804,4.7861,4.7910,4.7783,12.35K,0.01%
09/22/2021,4.7694,4.7825,4.7926,4.7699,27.56K,-0.23%
09/23/2021,4.7866,4.7737,4.7962,4.7684,34.85K,0.36%
09/24/2021,4.7762,4.7885,4.7927,4.7708,19.13K,-0.22%
09/27/2021,4.7688,4.7776,4.7852,4.7680,20.17K,-0.15%
09/28/2021,4.7559,4.7715,4.7720,4.7534,28.11K,-0.27%
09/29/2021,4.7533,4.7552,4.7678,4.7468,27.72K,-0.05%
09/30/2021,4.7471,4.7538,4.7572,4.7413,26.62K,-0.13%
10/01/2021,4.7503,4.7481,4.7601,4.7365,13.64K,0.07%
10/04/2021,4.7496,4.7545,4.7611,4.7434,15.22K,-0.01%
10/05/2021,4.7485,4.7519,4.7538,4.7428,18.11K,-0.02%
10/06/2021,4.7426,4.7502,4.7519,4.7305,20.91K,-0.12%
10/07/2021,4.7440,4.7446,4.7523,4.7408,15.38K,0.03%
10/08/2021,4.7532,4.7463,4.7634,4.7432,23.32K,0.19%
10/11/2021,4.7588,4.7543,4.7694,4.7498,19.41K,0.12%
10/12/2021,4.7506,4.7601,4.7631,4.7492,23.62K,-0.17%
10/13/2021,4.7528,4.7529,4.7664,4.7488,24.24K,0.05%
10/14/2021,4.7742,4.7551,4.7790,4.7541,19.19K,0.45%
10/15/2021,4.7716,4.7765,4.7778,4.7653,20.00K,-0.05%
10/18/2021,4.7633,4.7737,4.7761,4.7578,21.98K,-0.17%
10/19/2021,4.7444,4.7652,4.7716,4.7434,53.72K,-0.40%
10/20/2021,4.7582,4.7463,4.7621,4.7413,18.79K,0.29%
10/21/2021,4.7419,4.7586,4.7640,4.7432,19.57K,-0.34%
10/22/2021,4.7351,4.7440,4.7589,4.7298,20.34K,-0.14%
10/25/2021,4.7399,4.7375,4.7516,4.7331,63.49K,0.10%
10/26/2021,4.7323,4.7413,4.7462,4.7324,100.62K,-0.16%
10/27/2021,4.7397,4.7357,4.7450,4.7323,101.72K,0.16%
10/28/2021,4.7529,4.7422,4.7586,4.7355,93.57K,0.28%
10/29/2021,4.7469,4.7536,4.7607,4.7439,84.70K,-0.13%
11/01/2021,4.7432,4.7484,4.7494,4.7359,65.07K,-0.08%
11/02/2021,4.7428,4.7441,4.7532,4.7407,94.02K,-0.01%
11/03/2021,4.7519,4.7437,4.7550,4.7354,99.76K,0.19%
11/04/2021,4.7326,4.7532,4.7568,4.7277,104.98K,-0.41%
11/05/2021,4.7368,4.7352,4.7415,4.7264,90.38K,0.09%
11/08/2021,4.7409,4.7383,4.7471,4.7322,19.93K,0.09%
11/09/2021,4.7444,4.7436,4.7530,4.7392,22.12K,0.07%
11/10/2021,4.7205,4.7462,4.7478,4.7196,32.69K,-0.50%
11/11/2021,4.7168,4.7218,4.7357,4.7165,31.28K,-0.08%
11/12/2021,4.7145,4.7186,4.7253,4.7104,28.94K,-0.05%
11/15/2021,4.7158,4.7182,4.7288,4.7126,26.72K,0.03%
11/16/2021,4.7096,4.7162,4.7216,4.7066,33.76K,-0.13%
11/17/2021,4.7032,4.7126,4.7138,4.6929,23.26K,-0.14%
11/18/2021,4.7074,4.7044,4.7100,4.6943,22.70K,0.09%
11/19/2021,4.6899,4.7073,4.7102,4.6876,21.42K,-0.37%
11/22/2021,4.6802,4.6914,4.6936,4.6757,30.17K,-0.21%
11/23/2021,4.6793,4.6823,4.6830,4.6696,32.30K,-0.02%
11/24/2021,4.6713,4.6811,4.6847,4.6663,34.58K,-0.17%
11/25/2021,4.6674,4.6726,4.6771,4.6631,24.04K,-0.08%
11/26/2021,4.6605,4.6687,4.6703,4.6501,33.86K,-0.15%
11/29/2021,4.6648,4.6632,4.6704,4.6537,36.61K,0.09%
11/30/2021,4.6633,4.6662,4.6729,4.6350,44.10K,-0.03%
12/01/2021,4.6620,4.6644,4.6792,4.6585,40.92K,-0.03%
12/02/2021,4.6556,4.6641,4.6719,4.6549,36.94K,-0.14%
12/03/2021,4.6474,4.6567,4.6614,4.6431,28.99K,-0.18%
12/06/2021,4.6564,4.6511,4.6621,4.6456,21.14K,0.19%
12/07/2021,4.6587,4.6578,4.6652,4.6500,22.43K,0.05%
12/08/2021,4.6606,4.6630,4.6653,4.6473,36.49K,0.04%
12/09/2021,4.6723,4.6618,4.6744,4.6474,30.27K,0.25%
12/10/2021,4.6683,4.6734,4.6765,4.6558,32.76K,-0.09%
12/13/2021,4.6520,4.6712,4.6740,4.6496,18.50K,-0.35%
